District,Wage_median,Count,Wage_mean,Wage_75%,Wage_25%,Wage_iqr,Wage_std
北京(Not Specified),8000,114,8248,10000,6500,3500,2268
石景山,7000,29,7983,9000,5500,3500,3499
密云,6500,13,7423,7500,5500,2000,2490
通州,7000,193,7356,8100,6000,2100,1930
西城,7000,90,7236,7500,5563,1937.5,3005
东城,7050,95,7026,7675,5875,1800,2002
海淀,6500,195,6962,7500,5000,2500,3142
朝阳,6500,334,6959,7750,5250,2500,2347
昌平,6500,208,6935,7500,5500,2000,1985
丰台,6500,174,6827,7700,5063,2637.5,2315
平谷,7000,25,6824,7000,6500,500,1437
顺义,6500,183,6445,7500,5175,2325,1615
房山,6500,67,6310,7000,5500,1500,1841
怀柔,6500,26,6212,6500,5813,687.5,876
大兴,6000,209,6206,7000,5000,2000,1571
延庆,6500,5,6060,6750,5150,1600,837
门头沟,5625,10,5825,7375,5125,2250,1841
